Getting data for 2025-03-03 00:00:00
Getting data for 2025-03-04 00:00:00
Getting data for 2025-03-05 00:00:00
Getting data for 2025-03-06 00:00:00
Getting data for 2025-03-07 00:00:00
Getting data for 2025-03-08 00:00:00
Getting data for 2025-03-09 00:00:00
Getting data for 2025-03-10 00:00:00
Getting data for 2025-03-11 00:00:00
Getting data for 2025-03-12 00:00:00
Getting data for 2025-03-13 00:00:00
Getting data for 2025-03-14 00:00:00
Getting data for 2025-03-15 00:00:00
Getting data for 2025-03-16 00:00:00
Getting data for 2025-03-17 00:00:00
Getting data for 2025-03-18 00:00:00
Getting data for 2025-03-19 00:00:00
Getting data for 2025-03-20 00:00:00
Getting data for 2025-03-21 00:00:00
Getting data for 2025-03-22 00:00:00
Getting data for 2025-03-23 00:00:00
Getting data for 2025-03-24 00:00:00
Getting data for 2025-03-25 00:00:00
Getting data for 2025-03-26 00:00:00
Getting data for 2025-03-27 00:00:00
Getting data for 2025-03-28 00:00:00
Getting data for 2025-03-29 00:00:00
Getting data for 2025-03-30 00:00:00
Getting data for 2025-03-31 00:00:00
1 - Basic features done
2 - Ratio features done
3 - Imbalance features done
4 - Rolling mean and std features done
5 - Diff features done
6 - Prev ref_prices features done
7 - Changes compared to prev imbalance features done
8 - MACD features done
252
Starting for w40_False with mul=6
40: 54m20sec done
40: 54m30sec done
40: 54m40sec done
40: 54m50sec done
[LightGBM] [Info] Auto-choosing row-wise multi-threading, the overhead of testing was 0.299838 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 60530
[LightGBM] [Info] Number of data points in the train set: 2444400, number of used features: 247
[LightGBM] [Info] Start training from score 71.889999
Training until validation scores don't improve for 100 rounds
[10]	train's l1: 61.4702	test's l1: 61.4197
[610]	train's l1: 2.22563	test's l1: 3.4411
[620]	train's l1: 2.21611	test's l1: 3.42737
[630]	train's l1: 2.21294	test's l1: 3.4283
[640]	train's l1: 2.20863	test's l1: 3.4257
[650]	train's l1: 2.2084	test's l1: 3.42564
[660]	train's l1: 2.20673	test's l1: 3.42407
[670]	train's l1: 2.19911	test's l1: 3.40825
[680]	train's l1: 2.189	test's l1: 3.39718
[690]	train's l1: 2.18676	test's l1: 3.39498
[700]	train's l1: 2.1851	test's l1: 3.39371
[710]	train's l1: 2.18379	test's l1: 3.39297
[720]	train's l1: 2.18282	test's l1: 3.39272
[730]	train's l1: 2.18212	test's l1: 3.39252
[740]	train's l1: 2.17199	test's l1: 3.3845
[750]	train's l1: 2.1688	test's l1: 3.3826
[760]	train's l1: 2.16472	test's l1: 3.38207
[770]	train's l1: 2.15988	test's l1: 3.37846
[780]	train's l1: 2.15044	test's l1: 3.37167
[790]	train's l1: 2.14506	test's l1: 3.37138
[800]	train's l1: 2.12951	test's l1: 3.36436
[810]	train's l1: 2.12401	test's l1: 3.36039
[820]	train's l1: 2.12372	test's l1: 3.36031
[830]	train's l1: 2.12061	test's l1: 3.35989
[840]	train's l1: 2.11877	test's l1: 3.35915
[850]	train's l1: 2.11357	test's l1: 3.35403
[860]	train's l1: 2.11133	test's l1: 3.3549
[870]	train's l1: 2.11033	test's l1: 3.35452
[880]	train's l1: 2.10904	test's l1: 3.35449
[890]	train's l1: 2.068	test's l1: 3.33473
[900]	train's l1: 2.00643	test's l1: 3.30247
[910]	train's l1: 1.97767	test's l1: 3.29756
[920]	train's l1: 1.97592	test's l1: 3.29655
[930]	train's l1: 1.97575	test's l1: 3.29645
[940]	train's l1: 1.97253	test's l1: 3.29557
[950]	train's l1: 1.97113	test's l1: 3.2957
[960]	train's l1: 1.95598	test's l1: 3.29661
[970]	train's l1: 1.95542	test's l1: 3.29667
[980]	train's l1: 1.93452	test's l1: 3.2917
[990]	train's l1: 1.92661	test's l1: 3.2901
[1000]	train's l1: 1.92552	test's l1: 3.29059
Did not meet early stopping. Best iteration is:
[990]	train's l1: 1.92661	test's l1: 3.2901
