Getting data for 2025-03-03 00:00:00
Getting data for 2025-03-04 00:00:00
Getting data for 2025-03-05 00:00:00
Getting data for 2025-03-06 00:00:00
Getting data for 2025-03-07 00:00:00
Getting data for 2025-03-08 00:00:00
Getting data for 2025-03-09 00:00:00
Getting data for 2025-03-10 00:00:00
Getting data for 2025-03-11 00:00:00
Getting data for 2025-03-12 00:00:00
Getting data for 2025-03-13 00:00:00
Getting data for 2025-03-14 00:00:00
Getting data for 2025-03-15 00:00:00
Getting data for 2025-03-16 00:00:00
Getting data for 2025-03-17 00:00:00
Getting data for 2025-03-18 00:00:00
Getting data for 2025-03-19 00:00:00
Getting data for 2025-03-20 00:00:00
Getting data for 2025-03-21 00:00:00
Getting data for 2025-03-22 00:00:00
Getting data for 2025-03-23 00:00:00
Getting data for 2025-03-24 00:00:00
Getting data for 2025-03-25 00:00:00
Getting data for 2025-03-26 00:00:00
Getting data for 2025-03-27 00:00:00
Getting data for 2025-03-28 00:00:00
Getting data for 2025-03-29 00:00:00
Getting data for 2025-03-30 00:00:00
Getting data for 2025-03-31 00:00:00
1 - Basic features done
2 - Ratio features done
3 - Imbalance features done
4 - Rolling mean and std features done
5 - Diff features done
6 - Prev ref_prices features done
7 - Changes compared to prev imbalance features done
8 - MACD features done
252
Starting for w20_False with mul=6
20: 54m40sec done
20: 54m50sec done
[LightGBM] [Info] Auto-choosing row-wise multi-threading, the overhead of testing was 0.294917 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 60530
[LightGBM] [Info] Number of data points in the train set: 2612400, number of used features: 247
[LightGBM] [Info] Start training from score 71.889999
Training until validation scores don't improve for 100 rounds
[10]	train's l1: 61.4586	test's l1: 61.4047
[570]	train's l1: 2.73196	test's l1: 3.8232
[580]	train's l1: 2.72777	test's l1: 3.81957
[590]	train's l1: 2.72721	test's l1: 3.81941
[600]	train's l1: 2.71999	test's l1: 3.81463
[610]	train's l1: 2.71588	test's l1: 3.81353
[620]	train's l1: 2.71496	test's l1: 3.81313
[630]	train's l1: 2.71278	test's l1: 3.81308
[640]	train's l1: 2.6985	test's l1: 3.79311
[650]	train's l1: 2.69571	test's l1: 3.7924
[660]	train's l1: 2.67863	test's l1: 3.77527
[670]	train's l1: 2.56402	test's l1: 3.71576
[680]	train's l1: 2.40013	test's l1: 3.61006
[690]	train's l1: 2.39376	test's l1: 3.59784
[700]	train's l1: 2.38756	test's l1: 3.59393
[710]	train's l1: 2.38406	test's l1: 3.59344
[720]	train's l1: 2.36744	test's l1: 3.58557
[730]	train's l1: 2.35	test's l1: 3.57362
[740]	train's l1: 2.3474	test's l1: 3.57266
[750]	train's l1: 2.34664	test's l1: 3.57205
[760]	train's l1: 2.34006	test's l1: 3.56795
[770]	train's l1: 2.33175	test's l1: 3.56299
[780]	train's l1: 2.32781	test's l1: 3.56366
[790]	train's l1: 2.32271	test's l1: 3.5587
[800]	train's l1: 2.32062	test's l1: 3.55804
[810]	train's l1: 2.31724	test's l1: 3.55479
[820]	train's l1: 2.31587	test's l1: 3.55349
[830]	train's l1: 2.31099	test's l1: 3.55043
[840]	train's l1: 2.29431	test's l1: 3.54261
[850]	train's l1: 2.24659	test's l1: 3.4981
[860]	train's l1: 2.23401	test's l1: 3.48757
[870]	train's l1: 2.22504	test's l1: 3.48186
[880]	train's l1: 2.18986	test's l1: 3.46516
[890]	train's l1: 2.16304	test's l1: 3.45099
[900]	train's l1: 2.16224	test's l1: 3.45094
[910]	train's l1: 2.16035	test's l1: 3.45218
[920]	train's l1: 2.15772	test's l1: 3.44816
[930]	train's l1: 2.15668	test's l1: 3.4478
[940]	train's l1: 2.15464	test's l1: 3.44632
[950]	train's l1: 2.13905	test's l1: 3.44877
[960]	train's l1: 2.13709	test's l1: 3.44817
[970]	train's l1: 2.13481	test's l1: 3.44827
[980]	train's l1: 2.13299	test's l1: 3.44767
[990]	train's l1: 2.13209	test's l1: 3.44775
[1000]	train's l1: 2.13173	test's l1: 3.44772
Did not meet early stopping. Best iteration is:
[940]	train's l1: 2.15464	test's l1: 3.44632
