Getting data for 2025-03-03 00:00:00
Getting data for 2025-03-04 00:00:00
Getting data for 2025-03-05 00:00:00
Getting data for 2025-03-06 00:00:00
Getting data for 2025-03-07 00:00:00
Getting data for 2025-03-08 00:00:00
Getting data for 2025-03-09 00:00:00
Getting data for 2025-03-10 00:00:00
Getting data for 2025-03-11 00:00:00
Getting data for 2025-03-12 00:00:00
Getting data for 2025-03-13 00:00:00
Getting data for 2025-03-14 00:00:00
Getting data for 2025-03-15 00:00:00
Getting data for 2025-03-16 00:00:00
Getting data for 2025-03-17 00:00:00
Getting data for 2025-03-18 00:00:00
Getting data for 2025-03-19 00:00:00
Getting data for 2025-03-20 00:00:00
Getting data for 2025-03-21 00:00:00
Getting data for 2025-03-22 00:00:00
Getting data for 2025-03-23 00:00:00
Getting data for 2025-03-24 00:00:00
Getting data for 2025-03-25 00:00:00
Getting data for 2025-03-26 00:00:00
Getting data for 2025-03-27 00:00:00
Getting data for 2025-03-28 00:00:00
Getting data for 2025-03-29 00:00:00
Getting data for 2025-03-30 00:00:00
Getting data for 2025-03-31 00:00:00
1 - Basic features done
2 - Ratio features done
3 - Imbalance features done
4 - Rolling mean and std features done
5 - Diff features done
6 - Prev ref_prices features done
7 - Changes compared to prev imbalance features done
8 - MACD features done
252
Starting for w80_False with mul=1
80: 53m40sec done
80: 53m50sec done
80: 54m0sec done
80: 54m10sec done
80: 54m20sec done
80: 54m30sec done
80: 54m40sec done
80: 54m50sec done
[LightGBM] [Info] Auto-choosing row-wise multi-threading, the overhead of testing was 0.268240 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 60530
[LightGBM] [Info] Number of data points in the train set: 2108400, number of used features: 247
[LightGBM] [Info] Start training from score 71.889999
Training until validation scores don't improve for 100 rounds
[10]	train's l1: 61.3909	test's l1: 61.3365
[380]	train's l1: 2.80087	test's l1: 3.77852
[390]	train's l1: 2.76605	test's l1: 3.74229
[400]	train's l1: 2.75973	test's l1: 3.74475
[410]	train's l1: 2.69975	test's l1: 3.67652
[420]	train's l1: 2.67067	test's l1: 3.66083
[430]	train's l1: 2.66257	test's l1: 3.66247
[440]	train's l1: 2.65987	test's l1: 3.66127
[450]	train's l1: 2.65842	test's l1: 3.66139
[460]	train's l1: 2.63539	test's l1: 3.65197
[470]	train's l1: 2.63283	test's l1: 3.65236
[480]	train's l1: 2.63114	test's l1: 3.65292
[490]	train's l1: 2.63001	test's l1: 3.65233
[500]	train's l1: 2.62155	test's l1: 3.64309
[510]	train's l1: 2.62075	test's l1: 3.64251
[520]	train's l1: 2.61659	test's l1: 3.63881
[530]	train's l1: 2.5917	test's l1: 3.62448
[540]	train's l1: 2.55661	test's l1: 3.58768
[550]	train's l1: 2.55215	test's l1: 3.58328
[560]	train's l1: 2.5493	test's l1: 3.5827
[570]	train's l1: 2.54857	test's l1: 3.58203
[580]	train's l1: 2.54676	test's l1: 3.58132
[590]	train's l1: 2.54592	test's l1: 3.58122
[600]	train's l1: 2.49715	test's l1: 3.54285
[610]	train's l1: 2.48497	test's l1: 3.53276
[620]	train's l1: 2.45867	test's l1: 3.51867
[630]	train's l1: 2.4525	test's l1: 3.51768
[640]	train's l1: 2.44931	test's l1: 3.51441
[650]	train's l1: 2.3954	test's l1: 3.46544
[660]	train's l1: 2.39436	test's l1: 3.46511
[670]	train's l1: 2.39219	test's l1: 3.46432
[680]	train's l1: 2.30885	test's l1: 3.4075
[690]	train's l1: 2.30682	test's l1: 3.40637
[700]	train's l1: 2.30182	test's l1: 3.40183
[710]	train's l1: 2.30079	test's l1: 3.40131
[720]	train's l1: 2.30058	test's l1: 3.40133
[730]	train's l1: 2.2997	test's l1: 3.401
[740]	train's l1: 2.29723	test's l1: 3.40182
[750]	train's l1: 2.2329	test's l1: 3.33039
[760]	train's l1: 2.23264	test's l1: 3.33045
[770]	train's l1: 2.23078	test's l1: 3.32988
[780]	train's l1: 2.22915	test's l1: 3.32866
[790]	train's l1: 2.22718	test's l1: 3.32853
[800]	train's l1: 2.22639	test's l1: 3.32805
[810]	train's l1: 2.22614	test's l1: 3.32772
[820]	train's l1: 2.21117	test's l1: 3.31434
[830]	train's l1: 2.20867	test's l1: 3.31256
[840]	train's l1: 2.20856	test's l1: 3.3125
[850]	train's l1: 2.20845	test's l1: 3.31229
[860]	train's l1: 2.20749	test's l1: 3.31192
[870]	train's l1: 2.16961	test's l1: 3.28643
[880]	train's l1: 2.15843	test's l1: 3.28147
[890]	train's l1: 2.13672	test's l1: 3.26623
[900]	train's l1: 2.11846	test's l1: 3.25734
[910]	train's l1: 2.11519	test's l1: 3.25412
[920]	train's l1: 2.11212	test's l1: 3.25092
[930]	train's l1: 2.11164	test's l1: 3.25093
[940]	train's l1: 2.10919	test's l1: 3.24863
[950]	train's l1: 2.10762	test's l1: 3.24774
[960]	train's l1: 2.10716	test's l1: 3.24727
[970]	train's l1: 2.1064	test's l1: 3.24697
[980]	train's l1: 2.10619	test's l1: 3.24685
[990]	train's l1: 2.10514	test's l1: 3.24698
[1000]	train's l1: 2.10407	test's l1: 3.2471
Did not meet early stopping. Best iteration is:
[997]	train's l1: 2.1043	test's l1: 3.24675
