0
1
2
3
4
5
6
0
1
2
3
4
5
6
0
1
2
3
4
5
6
0
1
2
3
4
5
6
0
Starting for w60_False with mul=4
60: 54m0sec done
60: 54m10sec done
60: 54m20sec done
60: 54m30sec done
60: 54m40sec done
60: 54m50sec done
[LightGBM] [Info] Auto-choosing row-wise multi-threading, the overhead of testing was 0.310019 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 60530
[LightGBM] [Info] Number of data points in the train set: 2276400, number of used features: 247
[LightGBM] [Info] Start training from score 71.889999
Training until validation scores don't improve for 100 rounds
[10]	train's l1: 61.4124	test's l1: 61.3823
[680]	train's l1: 2.49795	test's l1: 3.40672
[690]	train's l1: 2.46051	test's l1: 3.38314
[700]	train's l1: 2.45562	test's l1: 3.38299
[710]	train's l1: 2.4432	test's l1: 3.37407
[720]	train's l1: 2.4214	test's l1: 3.36203
[730]	train's l1: 2.41911	test's l1: 3.36119
[740]	train's l1: 2.41738	test's l1: 3.36086
[750]	train's l1: 2.41306	test's l1: 3.35632
[760]	train's l1: 2.40993	test's l1: 3.35638
[770]	train's l1: 2.40747	test's l1: 3.3557
[780]	train's l1: 2.40281	test's l1: 3.35378
[790]	train's l1: 2.39771	test's l1: 3.35176
[800]	train's l1: 2.39391	test's l1: 3.35019
[810]	train's l1: 2.39192	test's l1: 3.35013
[820]	train's l1: 2.38479	test's l1: 3.34939
[830]	train's l1: 2.38321	test's l1: 3.3495
[840]	train's l1: 2.37745	test's l1: 3.3448
[850]	train's l1: 2.37661	test's l1: 3.34456
[860]	train's l1: 2.37316	test's l1: 3.3429
[870]	train's l1: 2.3707	test's l1: 3.34152
[880]	train's l1: 2.36691	test's l1: 3.33936
[890]	train's l1: 2.36175	test's l1: 3.33536
[900]	train's l1: 2.35757	test's l1: 3.33231
[910]	train's l1: 2.32372	test's l1: 3.32953
[920]	train's l1: 2.32281	test's l1: 3.33126
[930]	train's l1: 2.31586	test's l1: 3.32644
[940]	train's l1: 2.31165	test's l1: 3.32306
[950]	train's l1: 2.27942	test's l1: 3.29576
[960]	train's l1: 2.24576	test's l1: 3.26334
[970]	train's l1: 2.23462	test's l1: 3.25718
[980]	train's l1: 2.19855	test's l1: 3.23746
[990]	train's l1: 2.19469	test's l1: 3.23339
[1000]	train's l1: 2.19305	test's l1: 3.23371
Did not meet early stopping. Best iteration is:
[991]	train's l1: 2.19432	test's l1: 3.23337
Starting for w40_False with mul=4
